"file","name","command","category","action","rationale","explicitSuites"
"functions/e1-authority-service/package.json","start","node server.js","USEFUL FOCUSED","KEEP","Focused domain/UX contract; keep selected by dependency impact rather than every package alias.",""
"functions/package.json","test","node --test test/approved-viewer.test.cjs test/common-callable.test.cjs test/e1-authority-boundary.test.cjs test/e1-authority-shell.test.cjs test/e1-create-provider-account.test.cjs test/e1-deployment-guard.test.cjs test/e1-gateway.test.cjs test/e1-gateway-deployment.test.cjs test/e1-group-e-admission.test.cjs test/e1-group-e-client-foundation.test.cjs test/e1-group-e-control-store.test.cjs test/e1-production-client-foundation-execution.test.cjs test/e1-production-client-foundation-guard.test.cjs test/e1-production-client-foundation-pre-enable.test.cjs test/e1-production-first-mutation-guard.test.cjs test/e1-production-second-mutation-guard.test.cjs test/e1-production-third-mutation-browser-harness.test.cjs test/e1-production-third-mutation-canary-setup.test.cjs test/e1-production-third-mutation-guard.test.cjs test/e1-production-hardening.test.cjs test/e1-production-infrastructure-guard.test.cjs test/e1-production-read-proof-guard.test.cjs test/e1-provider-public-share.test.cjs test/e1-provider-public-share-gateway.test.cjs test/e1-trainer-directory-favorite.test.cjs test/e1-trainer-directory-favorite-gateway.test.cjs test/e1-rate-limit.test.cjs test/e1-read-account-foundation.test.cjs test/e1-read-proof-mode.test.cjs test/e1-repair-migration-freeze.test.cjs test/e1-reserve-trainer-handle.test.cjs test/e1-rtdb-legacy-reader.test.cjs test/e1-runtime-authorization.test.cjs test/favorites.test.cjs test/handle.test.cjs test/history.test.cjs test/safety-contract.test.cjs test/tags.test.cjs","USEFUL FOCUSED","KEEP","Focused domain/UX contract; keep selected by dependency impact rather than every package alias.","test/approved-viewer.test.cjs test/common-callable.test.cjs test/e1-authority-boundary.test.cjs test/e1-authority-shell.test.cjs test/e1-create-provider-account.test.cjs test/e1-deployment-guard.test.cjs test/e1-gateway.test.cjs test/e1-gateway-deployment.test.cjs test/e1-group-e-admission.test.cjs test/e1-group-e-client-foundation.test.cjs test/e1-group-e-control-store.test.cjs test/e1-production-client-foundation-execution.test.cjs test/e1-production-client-foundation-guard.test.cjs test/e1-production-client-foundation-pre-enable.test.cjs test/e1-production-first-mutation-guard.test.cjs test/e1-production-second-mutation-guard.test.cjs test/e1-production-third-mutation-browser-harness.test.cjs test/e1-production-third-mutation-canary-setup.test.cjs test/e1-production-third-mutation-guard.test.cjs test/e1-production-hardening.test.cjs test/e1-production-infrastructure-guard.test.cjs test/e1-production-read-proof-guard.test.cjs test/e1-provider-public-share.test.cjs test/e1-provider-public-share-gateway.test.cjs test/e1-trainer-directory-favorite.test.cjs test/e1-trainer-directory-favorite-gateway.test.cjs test/e1-rate-limit.test.cjs test/e1-read-account-foundation.test.cjs test/e1-read-proof-mode.test.cjs test/e1-repair-migration-freeze.test.cjs test/e1-reserve-trainer-handle.test.cjs test/e1-rtdb-legacy-reader.test.cjs test/e1-runtime-authorization.test.cjs test/favorites.test.cjs test/handle.test.cjs test/history.test.cjs test/safety-contract.test.cjs test/tags.test.cjs"
"functions/package.json","test:e1-production-hardening","node --test test/e1-authority-shell.test.cjs test/e1-gateway.test.cjs test/e1-gateway-deployment.test.cjs test/e1-group-e-admission.test.cjs test/e1-group-e-client-foundation.test.cjs test/e1-group-e-control-store.test.cjs test/e1-production-client-foundation-execution.test.cjs test/e1-production-client-foundation-guard.test.cjs test/e1-production-first-mutation-guard.test.cjs test/e1-production-second-mutation-guard.test.cjs test/e1-production-third-mutation-browser-harness.test.cjs test/e1-production-third-mutation-canary-setup.test.cjs test/e1-production-third-mutation-guard.test.cjs test/e1-production-hardening.test.cjs test/e1-production-infrastructure-guard.test.cjs test/e1-production-read-proof-guard.test.cjs test/e1-rate-limit.test.cjs test/e1-read-account-foundation.test.cjs test/e1-read-proof-mode.test.cjs test/e1-repair-migration-freeze.test.cjs test/e1-reserve-trainer-handle.test.cjs test/e1-rtdb-legacy-reader.test.cjs","CRITICAL CONTRACT","KEEP","Ownership, persistence, privacy, admission, release or recovery contract; keep isolated models AND adapter/Rules coverage. They are different failure boundaries.","test/e1-authority-shell.test.cjs test/e1-gateway.test.cjs test/e1-gateway-deployment.test.cjs test/e1-group-e-admission.test.cjs test/e1-group-e-client-foundation.test.cjs test/e1-group-e-control-store.test.cjs test/e1-production-client-foundation-execution.test.cjs test/e1-production-client-foundation-guard.test.cjs test/e1-production-first-mutation-guard.test.cjs test/e1-production-second-mutation-guard.test.cjs test/e1-production-third-mutation-browser-harness.test.cjs test/e1-production-third-mutation-canary-setup.test.cjs test/e1-production-third-mutation-guard.test.cjs test/e1-production-hardening.test.cjs test/e1-production-infrastructure-guard.test.cjs test/e1-production-read-proof-guard.test.cjs test/e1-rate-limit.test.cjs test/e1-read-account-foundation.test.cjs test/e1-read-proof-mode.test.cjs test/e1-repair-migration-freeze.test.cjs test/e1-reserve-trainer-handle.test.cjs test/e1-rtdb-legacy-reader.test.cjs"
"functions/package.json","test:e1-gateway-source","node --test test/e1-gateway-deployment.test.cjs","CRITICAL CONTRACT","KEEP","Ownership, persistence, privacy, admission, release or recovery contract; keep isolated models AND adapter/Rules coverage. They are different failure boundaries.","test/e1-gateway-deployment.test.cjs"
"functions/package.json","test:e1-production-infrastructure-guard","node --test test/e1-production-infrastructure-guard.test.cjs","CRITICAL CONTRACT","KEEP","Ownership, persistence, privacy, admission, release or recovery contract; keep isolated models AND adapter/Rules coverage. They are different failure boundaries.","test/e1-production-infrastructure-guard.test.cjs"
"functions/package.json","test:e1-production-read-proof-guard","node --test test/e1-production-read-proof-guard.test.cjs","CRITICAL CONTRACT","KEEP","Ownership, persistence, privacy, admission, release or recovery contract; keep isolated models AND adapter/Rules coverage. They are different failure boundaries.","test/e1-production-read-proof-guard.test.cjs"
"functions/package.json","test:e1-production-first-mutation-guard","node --test test/e1-production-first-mutation-guard.test.cjs","CRITICAL CONTRACT","KEEP","Ownership, persistence, privacy, admission, release or recovery contract; keep isolated models AND adapter/Rules coverage. They are different failure boundaries.","test/e1-production-first-mutation-guard.test.cjs"
"functions/package.json","test:e1-production-second-mutation-guard","node --test test/e1-production-second-mutation-guard.test.cjs","CRITICAL CONTRACT","KEEP","Ownership, persistence, privacy, admission, release or recovery contract; keep isolated models AND adapter/Rules coverage. They are different failure boundaries.","test/e1-production-second-mutation-guard.test.cjs"
"functions/package.json","test:e1-production-third-mutation-guard","node --test test/e1-production-third-mutation-browser-harness.test.cjs test/e1-production-third-mutation-canary-setup.test.cjs test/e1-production-third-mutation-guard.test.cjs","CRITICAL CONTRACT","KEEP","Ownership, persistence, privacy, admission, release or recovery contract; keep isolated models AND adapter/Rules coverage. They are different failure boundaries.","test/e1-production-third-mutation-browser-harness.test.cjs test/e1-production-third-mutation-canary-setup.test.cjs test/e1-production-third-mutation-guard.test.cjs"
"functions/package.json","test:e1-production-client-foundation","node --test test/e1-group-e-admission.test.cjs test/e1-group-e-client-foundation.test.cjs test/e1-group-e-control-store.test.cjs test/e1-production-client-foundation-browser-operator.test.cjs test/e1-production-client-foundation-execution.test.cjs test/e1-production-client-foundation-guard.test.cjs test/e1-production-client-foundation-pre-enable.test.cjs","CRITICAL CONTRACT","KEEP","Ownership, persistence, privacy, admission, release or recovery contract; keep isolated models AND adapter/Rules coverage. They are different failure boundaries.","test/e1-group-e-admission.test.cjs test/e1-group-e-client-foundation.test.cjs test/e1-group-e-control-store.test.cjs test/e1-production-client-foundation-browser-operator.test.cjs test/e1-production-client-foundation-execution.test.cjs test/e1-production-client-foundation-guard.test.cjs test/e1-production-client-foundation-pre-enable.test.cjs"
"functions/package.json","e1:client-foundation-execution","node scripts/check-e1-production-client-foundation-execution.cjs","PRIVATE/MANUAL","KEEP","Offline operator guard remains required when operator code changes; live execution is separately authorized, never a routine PR task.",""
